srun: job 160234 queued and waiting for resources
srun: job 160234 has been allocated resources
INFO 06-04 19:05:24 [nixl_utils.py:20] Setting UCX_RCACHE_MAX_UNRELEASED to '1024' to avoid a rare memory leak in UCX when using NIXL.
WARNING 06-04 19:05:24 [nixl_utils.py:34] NIXL is not available
WARNING 06-04 19:05:24 [nixl_utils.py:44] NIXL agent config is not available

Operator: fused_marlin_moe  Performance Test (dtype=torch.bfloat16, mode=kernel,level=comprehensive)
Status       Torch Latency (ms)    Gems Latency (ms)         Gems Speedup          Size Detail
-----------------------------------------------------------------------------------------------
SUCCESS               0.133662            0.171111               0.781          [torch.Size([1, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([1, 2]), torch.Size([1, 2])]
SUCCESS               0.340680            0.403928               0.843          [torch.Size([4, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([4, 2]), torch.Size([4, 2])]
SUCCESS               0.446320            0.508666               0.877          [torch.Size([8, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([8, 2]), torch.Size([8, 2])]
SUCCESS               0.446616            0.513541               0.870          [torch.Size([16, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([16, 2]), torch.Size([16, 2])]
SUCCESS               0.650326            0.545772               1.192          [torch.Size([32, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([32, 2]), torch.Size([32, 2])]
SUCCESS               1.195046            0.737039               1.621          [torch.Size([64, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([64, 2]), torch.Size([64, 2])]
SUCCESS               1.714377            1.055176               1.625          [torch.Size([128, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([128, 2]), torch.Size([128, 2])]
SUCCESS               3.656191            1.969484               1.856          [torch.Size([256, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([256, 2]), torch.Size([256, 2])]
SUCCESS               0.131382            0.151394               0.868          [torch.Size([1, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([1, 8]), torch.Size([1, 8])]
SUCCESS               0.423563            0.479257               0.884          [torch.Size([4, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([4, 8]), torch.Size([4, 8])]
SUCCESS               0.805487            0.896940               0.898          [torch.Size([8, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([8, 8]), torch.Size([8, 8])]
SUCCESS               1.378727            1.511201               0.912          [torch.Size([16, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([16, 8]), torch.Size([16, 8])]
SUCCESS               2.198007            2.411046               0.912          [torch.Size([32, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([32, 8]), torch.Size([32, 8])]
