INFO 06-05 11:34:21 [nixl_utils.py:20] Setting UCX_RCACHE_MAX_UNRELEASED to '1024' to avoid a rare memory leak in UCX when using NIXL.
WARNING 06-05 11:34:21 [nixl_utils.py:34] NIXL is not available
WARNING 06-05 11:34:21 [nixl_utils.py:44] NIXL agent config is not available

Operator: fused_marlin_moe  Performance Test (dtype=torch.bfloat16, mode=kernel,level=comprehensive)
Status       Torch Latency (ms)    Gems Latency (ms)         Gems Speedup          Size Detail
-----------------------------------------------------------------------------------------------
SUCCESS               5.624416            3.464736               1.623          [torch.Size([512, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([512, 2]), torch.Size([512, 2])]
SUCCESS              10.683360            6.389408               1.672          [torch.Size([1024, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([1024, 2]), torch.Size([1024, 2])]
SUCCESS              37.217232           22.108880               1.683          [torch.Size([4096, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([4096, 2]), torch.Size([4096, 2])]
SUCCESS             144.157028           85.421120               1.688          [torch.Size([16384, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([16384, 2]), torch.Size([16384, 2])]
SUCCESS             287.198120          170.271942               1.687          [torch.Size([32768, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([32768, 2]), torch.Size([32768, 2])]
SUCCESS               9.466048            5.498720               1.722          [torch.Size([512, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([512, 8]), torch.Size([512, 8])]
SUCCESS              13.614912            8.068464               1.687          [torch.Size([1024, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([1024, 8]), torch.Size([1024, 8])]
SUCCESS              44.267248           26.900831               1.646          [torch.Size([4096, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([4096, 8]), torch.Size([4096, 8])]
SUCCESS             153.048187           93.063965               1.645          [torch.Size([16384, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([16384, 8]), torch.Size([16384, 8])]
SUCCESS             298.213409          179.673660               1.660          [torch.Size([32768, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([32768, 8]), torch.Size([32768, 8])]
SUCCESS               3.037440            3.110816               0.976          [torch.Size([512, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([512, 10]), torch.Size([512, 10])]
