INFO 06-05 11:46:19 [nixl_utils.py:20] Setting UCX_RCACHE_MAX_UNRELEASED to '1024' to avoid a rare memory leak in UCX when using NIXL.
WARNING 06-05 11:46:19 [nixl_utils.py:34] NIXL is not available
WARNING 06-05 11:46:19 [nixl_utils.py:44] NIXL agent config is not available

Operator: fused_marlin_moe  Performance Test (dtype=torch.bfloat16, mode=kernel,level=comprehensive)
Status       Torch Latency (ms)    Gems Latency (ms)         Gems Speedup          Size Detail
-----------------------------------------------------------------------------------------------
SUCCESS               5.304083            3.218574               1.648          [torch.Size([512, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([512, 2]), torch.Size([512, 2])]
SUCCESS               9.741624            5.933471               1.642          [torch.Size([1024, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([1024, 2]), torch.Size([1024, 2])]
SUCCESS              36.375959           21.735624               1.674          [torch.Size([4096, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([4096, 2]), torch.Size([4096, 2])]
SUCCESS             143.331917           85.588608               1.675          [torch.Size([16384, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([16384, 2]), torch.Size([16384, 2])]
SUCCESS             285.027252          170.138443               1.675          [torch.Size([32768, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([32768, 2]), torch.Size([32768, 2])]
SUCCESS               9.376810            5.482898               1.710          [torch.Size([512, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([512, 8]), torch.Size([512, 8])]
SUCCESS              13.501579            8.025191               1.682          [torch.Size([1024, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([1024, 8]), torch.Size([1024, 8])]
SUCCESS              44.175585           26.778325               1.650          [torch.Size([4096, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([4096, 8]), torch.Size([4096, 8])]
SUCCESS             152.614532           92.503746               1.650          [torch.Size([16384, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([16384, 8]), torch.Size([16384, 8])]
SUCCESS             295.888855          179.794846               1.646          [torch.Size([32768, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([32768, 8]), torch.Size([32768, 8])]
SUCCESS               3.069777            3.098790               0.991          [torch.Size([512, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([512, 10]), torch.Size([512, 10])]
SUCCESS               5.591144            3.198355               1.748          [torch.Size([1024, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([1024, 10]), torch.Size([1024, 10])]
SUCCESS              20.707636           13.551968               1.528          [torch.Size([4096, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([4096, 10]), torch.Size([4096, 10])]
SUCCESS              58.351728           38.933823               1.499          [torch.Size([16384, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([16384, 10]), torch.Size([16384, 10])]
SUCCESS             111.803745           74.421715               1.502          [torch.Size([32768, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([32768, 10]), torch.Size([32768, 10])]
SUCCESS               3.146447            3.068848               1.025          [torch.Size([512, 4096]), torch.Size([256, 4096, 2048]), torch.Size([256, 4096, 1024]), torch.Size([256, 4096, 32]), torch.Size([256, 4096, 16]), torch.Size([256, 256, 8192]), torch.Size([256, 128, 8192]), torch.Size([256, 32, 4096]), torch.Size([256, 16, 4096]), torch.Size([512, 6]), torch.Size([512, 6])]
SUCCESS               5.697573            3.601876               1.582          [torch.Size([1024, 4096]), torch.Size([256, 4096, 2048]), torch.Size([256, 4096, 1024]), torch.Size([256, 4096, 32]), torch.Size([256, 4096, 16]), torch.Size([256, 256, 8192]), torch.Size([256, 128, 8192]), torch.Size([256, 32, 4096]), torch.Size([256, 16, 4096]), torch.Size([1024, 6]), torch.Size([1024, 6])]
SUCCESS              20.741584           12.692791               1.634          [torch.Size([4096, 4096]), torch.Size([256, 4096, 2048]), torch.Size([256, 4096, 1024]), torch.Size([256, 4096, 32]), torch.Size([256, 4096, 16]), torch.Size([256, 256, 8192]), torch.Size([256, 128, 8192]), torch.Size([256, 32, 4096]), torch.Size([256, 16, 4096]), torch.Size([4096, 6]), torch.Size([4096, 6])]
