INFO 06-05 11:58:43 [nixl_utils.py:20] Setting UCX_RCACHE_MAX_UNRELEASED to '1024' to avoid a rare memory leak in UCX when using NIXL.
WARNING 06-05 11:58:43 [nixl_utils.py:34] NIXL is not available
WARNING 06-05 11:58:43 [nixl_utils.py:44] NIXL agent config is not available

Operator: fused_marlin_moe  Performance Test (dtype=torch.bfloat16, mode=kernel,level=comprehensive)
Status       Torch Latency (ms)    Gems Latency (ms)         Gems Speedup          Size Detail
-----------------------------------------------------------------------------------------------
SUCCESS               5.895936           12.296256               0.479          [torch.Size([512, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([512, 2]), torch.Size([512, 2])]
SUCCESS               9.841648           22.275168               0.442          [torch.Size([1024, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([1024, 2]), torch.Size([1024, 2])]
SUCCESS              37.208208           84.520355               0.440          [torch.Size([4096, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([4096, 2]), torch.Size([4096, 2])]
SUCCESS             144.476929          329.647034               0.438          [torch.Size([16384, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([16384, 2]), torch.Size([16384, 2])]
SUCCESS             287.370911          659.453918               0.436          [torch.Size([32768, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([32768, 2]), torch.Size([32768, 2])]
SUCCESS               9.465344           21.470000               0.441          [torch.Size([512, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([512, 8]), torch.Size([512, 8])]
SUCCESS              13.740128           21.713984               0.633          [torch.Size([1024, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([1024, 8]), torch.Size([1024, 8])]
SUCCESS              44.741550           52.650753               0.850          [torch.Size([4096, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([4096, 8]), torch.Size([4096, 8])]
SUCCESS             153.116287          176.398911               0.868          [torch.Size([16384, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([16384, 8]), torch.Size([16384, 8])]
SUCCESS             297.260223          352.769440               0.843          [torch.Size([32768, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([32768, 8]), torch.Size([32768, 8])]
SUCCESS               3.050272           11.959360               0.255          [torch.Size([512, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([512, 10]), torch.Size([512, 10])]
