INFO 06-05 12:09:27 [nixl_utils.py:20] Setting UCX_RCACHE_MAX_UNRELEASED to '1024' to avoid a rare memory leak in UCX when using NIXL.
WARNING 06-05 12:09:27 [nixl_utils.py:34] NIXL is not available
WARNING 06-05 12:09:27 [nixl_utils.py:44] NIXL agent config is not available

Operator: fused_marlin_moe  Performance Test (dtype=torch.bfloat16, mode=kernel,level=comprehensive)
Status       Torch Latency (ms)    Gems Latency (ms)         Gems Speedup          Size Detail
-----------------------------------------------------------------------------------------------
SUCCESS               5.617037           11.945816               0.470          [torch.Size([512, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([512, 2]), torch.Size([512, 2])]
SUCCESS              10.382062           22.618312               0.459          [torch.Size([1024, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([1024, 2]), torch.Size([1024, 2])]
SUCCESS              36.987360           84.301075               0.439          [torch.Size([4096, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([4096, 2]), torch.Size([4096, 2])]
SUCCESS             144.291519          332.084106               0.435          [torch.Size([16384, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([16384, 2]), torch.Size([16384, 2])]
SUCCESS             287.062531          663.888153               0.432          [torch.Size([32768, 4096]), torch.Size([8, 28672, 2048]), torch.Size([8, 4096, 7168]), torch.Size([8, 28672, 32]), torch.Size([8, 4096, 112]), torch.Size([8, 256, 57344]), torch.Size([8, 896, 8192]), torch.Size([8, 32, 28672]), torch.Size([8, 112, 4096]), torch.Size([32768, 2]), torch.Size([32768, 2])]
SUCCESS               9.457901           21.622168               0.437          [torch.Size([512, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([512, 8]), torch.Size([512, 8])]
SUCCESS              13.627776           21.676661               0.629          [torch.Size([1024, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([1024, 8]), torch.Size([1024, 8])]
SUCCESS              44.874767           53.080193               0.845          [torch.Size([4096, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([4096, 8]), torch.Size([4096, 8])]
SUCCESS             153.790497          178.713249               0.861          [torch.Size([16384, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([16384, 8]), torch.Size([16384, 8])]
SUCCESS             298.307983          355.588287               0.839          [torch.Size([32768, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([32768, 8]), torch.Size([32768, 8])]
SUCCESS               3.065786           12.039200               0.255          [torch.Size([512, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([512, 10]), torch.Size([512, 10])]
SUCCESS               5.647462           12.080024               0.468          [torch.Size([1024, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([1024, 10]), torch.Size([1024, 10])]
